id,number,legacy_contract_id
2,17,244
3,23-3,245
4,6,243
5,K6 Domanin ,419
6,"K3, K4",410
7,Zad. 04,226
8,07/10/2017/JRP,246
9,08/09/2018/JRP,247
10,K.2 - projektowanie OŚ,513
11,K4 Układ grzewczy,416
12,Zad. 06,292
13,3/JRP/UZMS/2018,493
14,K7 Wojska Polskiego ,420
15,Zad. 07,230
16,Zad. 09,232
17,Zad. 14,235
18,Zad. 16,236
19,K2,463
20,K3,462
21,K.2 GIS,451
22,K5 GIS,417
23,Zadanie 2 - dokończenie projektu,519
24,"K.4.1, 5.1",376
25,K.2,380
26,K1,461
27,Zad. 17.3,691
28,K.3,381
29,Zadanie 1- Hortico,489
30,"K1, K2",398
31,K.5.2,378
32,K1 Oś. Przemysława,415
33,K3 Borek,413
34,"K5, K7",418
35,Kontrakt 1,509
36,Kontrakt 2,510
37,K2 Renowacja,412
38,K.1.3-projektowanie (kanalizacja,487
39,K1,387
40,K.1 OŚ projekt,450
41,K1,672
42,K.1,379
43,K.1.2 Miasto kanalizacja,436
44,K1,684
45,K1,395
46,Zad. 05,228
47,K.1 OŚ,377
48,K1,224
49,K.2 GIS,549
50,K5,695
51,K.4 kolektory,673
52,K.1.2 Roboty Rynek,552
53,K.1.3- roboty Buszkowice i Przyc,686
54,K.1.3- roboty Dłużyce,670
55,K.1.3- roboty Dziesław,653
56,K.1.3- roboty Dziewin,671
57,"K.1.3- roboty Parszowice, Ręszów",652
58,K.1.3- roboty Wielowieś,648
59,K.1.3- roboty Zaborów,647
60,K.4.2,382
61,K1,568
62,UMOWA.2.2021,679
63,K1,482
64,K.2 - roboty OŚ,437
65,K.12,699
66,JRP/1/2021,743
67,K.1.1 Modernizacja SUW,515
68,Z.3.1 Magistrale cz.1,749
69,"Z.2 Obudowy studni, przewody",755
70,Z.3.2 Magistrale cz.2,751
71,Z.3.3 Magistrale cz. 3,753
72,Z.4.1 Pompownia RB,754
73,3/PROW/2020,777
74,K1,718
75,K.1.3- roboty (kanalizacja),514
76,Roboty 1/1/2021/JRP,877
77,K1,687
78,K.3 OŚ roboty,719
79,K1,526
80,K2,528
81,47/21,843
82,K.13,893
83,Z.1 SUW,752
84,Z.4.2,939
85,Z.1_1/ZP/2022,931
86,Zadanie 3,693
87,K.1.3- roboty Dąbrowa Dolna,951
88,K.1.3- roboty Dąbrowa Środkowa,950
89,K.1.3- roboty Turów,952
90,K.1.3-roboty Krzyżowa + część mi,1039
91,IR.90.2022,1026
92,IR.91.2022,1025
93,KIV,1033
94,KI,1031
95,KII,1030
96,KIII,1032
97,KV,1045
98,JRP.2.2023,1087
99,IR.85.2022,1027
100,IR.89.2022,1028
101,K.1 OŚ,773
102,IR.52.2024 cz.8 rewital budynku ,1243
103,K1 ,1228
104,IR.IV.272.14.2023,1073
105,IR.50.2024 cz.7 budowa Skate Par,1244
106,IR.54.2024 cz.1 przebud ul. Sale,1246
107,IR.53.2024 cz.4 Budowa świetlicy,1245
108,IR.132.2024  - Budowa trzech wia,1386
109,Z.7_2/BK/2025,1803
110,ZP_10_2025,1897
111,ZP_9_2025,1896
112,Z.4-6_1/BK/2025,1796
113,IR.121.2025,1863
114,ZP_11_2025,1894
115,ZPW.15/IGP/2024 - Z.1 ,1482
116,ZPW/14/IGP/2024 - Z.2 ,1507
117,ZPW.15/IGP/2024 - Z.1.2. SUW ,1731
118,ZPW.15/IGP/2024 - Zadanie 1.3. M,1776
119,ZPW.15/IGP/2024- Z.1.1. KS,1730
120,ZPW/91/IGP/2025 z dnia 01.08.202,1906
121,241/2024,1306
122, ,1808
123,Winsan_01/07/2025/BR,1823
124,20/2025,1664
125,ZP_12_2025,1895
126,IR.131.2024 - Budowa żłobka,1385
127,Zadanie 2 ADAMIETZ,1268
128,nr 14/UZ/2025 zad 2. płuczka,1779
129,14/UZ/2025 zad 1 OS,1775
130,nr1cctest,1872
131,7/2026/DI,1946
132,Umowa 1/03/2026 wodociąg,1927
133,ZS.073.8.2025.PKM,1785
134,22/2025,1620
135,ZPW/35/IGP/2025-ZADANIE 3,1753
136,GWW.207.RI.I.042.15.2025 ,1890
137,JRP.2.2026,1940
138,JRP.3.2026,1941
139,JRP.4.2026,1942
140,Z.2_3/ZP/2024,1767
141, -,1951
142, - ,1952
143, - ,1954
144,  - ,1962
145,-,1961
146,Wuprinż 84/2025,1810
147,83/2025,1722
148,K1,1839
149,K10,1844
150,K11,1845
151,K12,1846
152,K13,1838
153,K2,1847
154,K3,1848
155,K4,1840
156,K5,1841
157,K6,1849
158,K7,1850
159,K8,1842
160,K9,1843
161,BF.032.366.2025,1902
162,OSOP.272.114.2024 ,1789
163,11/2026/DI,1970
